,patent_id,date,abstract,title,cpc_list
0,10027804,2018-07-17,A system and method for providing hiring recommendations of agents within a call center is provided. A voice sample is received from a candidate agent. The voice sample is analyzed by comparing the voice sample with at least one voice model associated with voice characteristics for two or more populations of a trait. One of the populations to which the candidate agent belongs for that trait is identified. A score is assigned to the candidate agent based on the identified population for the trait. A recommendation for hire for the candidate agent is provided based on the assigned score.,System and method for providing hiring recommendations of agents within a call center,"['G10L15', 'G10L17', 'H04M2201', 'H04M3', 'H04M2203', 'G10L25', 'G06Q10', 'G06F40']"
1,10038785,2018-07-31,A system for recognizing processes performed by a call center agent during a session may receive input data from a screen recording system that includes a video signal representing a plurality of frames from a time-series video recording or video stream of a desktop of a user electronic device. The system processes the video signal to identify one or more frames of interest from the plurality of frames. Each frame of interest includes a change in a layout of the corresponding one or more screens as compared to a preceding frame in the time-series video recording. The system automatically identifies actions performed by the call center agent that represent an interaction that the call center agent had with one or more screens corresponding to the frame of interest. The system generates an event log that includes a timeline depicting a visual representation of the identified actions.,Methods and systems for automatically recognizing actions in a call center environment using video data,"['H04M2201', 'G06K9', 'H04M3', 'G06K2209', 'G10L25']"
2,10051125,2018-08-14,"Techniques for benchmarking performance in a contact center system are disclosed. In one particular embodiment, the techniques may be realized as a method for benchmarking performance in a contact center system including pairing a first portion of a plurality of contacts with a plurality of agents using rank-based matching or pattern matching, pairing a remaining portion of the plurality of contacts with the plurality of agents using a random matching strategy, and determining a first amount of performance gain for the contact center system by comparing a first plurality of call outcomes associated with the first portion of the plurality of contacts with a second plurality of call outcomes associated with the remaining portion of the plurality of contacts.",Selective mapping of callers in a call center routing system,"['H04M3', 'H04M2201']"
3,10057422,2018-08-21,"Techniques for handling contacts and agents in a contact center system are disclosed. In one particular embodiment, the techniques may be realized as a method for handling contacts and agents in a contact center system including associating an outcome of an interaction between a contact and an agent with an identification of a matching strategy used for matching the contact with the agent.",Selective mapping of callers in a call center routing system,"['H04M3', 'H04M2201']"
4,10063705,2018-08-28,"Systems and methods of routing calls may include receiving a plurality of calls, and for each of the plurality of calls, determining a threshold time that may be a maximum service time for the call, estimating an expected service time for the call, comparing the threshold time with the expected service time for the call, and assigning the call into one of a plurality of queues based upon the comparing. The method of routing may further include prioritizing the plurality of queues based upon the expected service time for each call in each of the plurality of queues, directing each call in a first queue of the plurality of queues to a first group of agents, and providing a callback prompt to each call in a second queue of the plurality of queues, wherein a priority of the first queue is higher than a priority of the second queue.",Systems and methods for selectively routing calls to a call center,"['H04M3', 'H04M2201', 'H04M2203']"
5,10091358,2018-10-02,"One or more embodiments related to a method of generating a graphical user interface. The method includes obtaining a metric interface hierarchy having multiple nodes, where each node defines a visualization for the node, and the metric interface hierarchy defines an ordering on the nodes. The method further includes traversing the metric interface hierarchy starting with a selected node to obtain a subhierarchy, and creating the graphical user interface from a general interface by populating the general interface with the visualization from each node in the subhierarchy according to the ordering. The method further includes providing the graphical user interface.",Graphical user interface for call center analysis,"['G06F16', 'H04M2201', 'G06T11', 'G06T2200', 'H04M3', 'H04M2203', 'G06F3']"
6,10122855,2018-11-06,"A computer-implemented method for providing an objective evaluation to a customer service representative regarding his performance during an interaction with a customer may include receiving a digitized data stream corresponding to a spoken conversation between a customer and a representative; converting the data stream to a text stream; generating a representative transcript that includes the words from the text stream that are spoken by the representative; comparing the representative transcript with a plurality of positive words and a plurality of negative words; and generating a score that varies according to the occurrence of each word spoken by the representative that matches one of the positive words, and/or the occurrence of each word spoken by the representative that matches one of the negative words. Tone of voice, as well as response time, during the interaction may also be monitored and analyzed to adjust the score, or generate a separate score.",Voice and speech recognition for call center feedback and quality assurance,"['G10L15', 'G10L17', 'H04M2201', 'H04M3', 'H04M2203', 'G10L25', 'G06F40']"
7,10123197,2018-11-06,"A call to an emergency call center from a device is initiated utilizing a relay service. The device may send a non-voice message to the relay service. The relay service, upon receipt and analysis of the message, may initiate a call to the device. The device, upon receiving the call and determining that the call is from the relay service, may place the call on hold and initiate a call to an emergency call center. Subsequently, the device may establish a multi-party call between the device, the relay service, and the emergency call center. Further, the relay service may maintain multiple communications modes in order to conduct non-voice messages with the device and conduct voice communications with the emergency call center.",Initiating a call to an emergency call center via a relay service,"['H04W12', 'H04L67', 'H04W76', 'H04W40', 'H04L12', 'H04W4']"
8,10135979,2018-11-20,"A method, system, and a computer program product are provided for monitoring an emotional state of a conversation by monitoring a communication between first and second persons to determine an emotional state of the communication, providing a visual representation of the emotional state of the communication for display to a person having access to the communication, and performing an intervention action to improve the emotional state of the communication in response to detecting the emotional state of the communication meets one or more specified intervention criteria.",System and method for monitoring and visualizing emotions in call center dialogs by call center supervisors,"['G10L15', 'G06T11', 'H04M3', 'G10L25', 'G06F40']"
9,10147058,2018-12-04,"An employee, such as a call center agent, is monitored for compliance with a work schedule based on their work location. The call center agent's physical location is periodically monitored by a schedule adherence system that includes a mobile device executing a mobile application. Location information associated with that agent is compared with location information when the agent is working during their scheduled shift. A significant deviation from the known location may be reported as a potential deviation from a defined work schedule for that employee. The call center agent can also be monitored prior to the beginning of a shift to determine if the agent will be arriving at work in time to begin their shift as scheduled. Substitute agents may be scheduled and notified in time to fill the position of the late agent.",Monitoring schedule adherence of call center agents,"['G07C1', 'G06Q10']"
10,10147438,2018-12-04,"Embodiments of the invention include method, systems and computer program products for role modeling. Aspects of the invention include receiving, by a processor, audio data, wherein the audio data includes a plurality of audio conversation for one or more speakers. The one or more segments for each of the plurality of audio conversations are partitioned. A speaker is associated with each of the one or more segments. The one or more segments for each of the plurality of audio conversations are labeled with roles utilizing a speaker recognition engine. Speakers are clustered based at least in part on a number of times the speakers are present in an audio conversation.",Role modeling in call centers and work centers,"['G10L15', 'G10L17', 'H04M2201', 'G10L21', 'H04M3', 'H04M2203', 'G06F40']"
11,10154134,2018-12-11,"A system for authenticating the identity of a caller (i) receives a phone call from a caller, where the phone call is initiated through an application on a remote computer device associated with the caller, and where the phone call includes one or more phone authentication credentials; (ii) determines a preliminary identity of the caller based upon the one or more phone authentication credentials; (iii) receives online authentication credentials from the application on the remote computer device; (iv) determines a confirmed identity of the caller based, at least in part, upon the one or more online credentials and the preliminary identity of the caller; and (v) displays the confirmed identity of the caller to a user answering the phone call. As a result, the user and/or the system do not need to perform additional authentication before providing service to the caller.",Systems and methods for authenticating a caller at a call center,"['H04M3', 'H04M2203', 'H04M7']"
